resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
,,,,,,,stim/VC_06.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.12909,,,,,,,,0,4,4,5,1,,,,,,,
,,,,,,,stim/VC_03.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.206005,,,,,,,,0,5,5,2,1,,,,,,,
,,,,,,,stim/VC_02.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.219495,,,,,,,,0,6,6,1,1,,,,,,,
,,,,,,,stim/VC_01.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.112175,,,,,,,,0,7,7,0,1,,,,,,,
,,,,,,,stim/VC_10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.175825,,,,,,,,0,8,8,9,1,,,,,,,
,,,,,,,stim/VC_05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.194945,,,,,,,,0,9,9,4,1,,,,,,,
,,,,,,,stim/VC_04.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.152525,,,,,,,,0,10,10,3,1,,,,,,,
,,,,,,,stim/VC_10.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.192715,,,,,,,,1,0,11,9,1,,,,,,,
,,,,,,,stim/VC_09.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.14368,,,,,,,,1,1,12,8,1,,,,,,,
,,,,,,,stim/VC_11.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.309865,,,,,,,,1,2,13,10,1,,,,,,,
,,,,,,,stim/VC_05.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.519965,,,,,,,,1,3,14,4,1,,,,,,,
,,,,,,,stim/VC_08.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.390685,,,,,,,,1,4,15,7,1,,,,,,,
,,,,,,,stim/VC_04.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.119315,,,,,,,,1,5,16,3,1,,,,,,,
,,,,,,,stim/VC_06.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.500825,,,,,,,,1,6,17,5,1,,,,,,,
,,,,,,,stim/VC_02.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.183745,,,,,,,,1,7,18,1,1,,,,,,,
,,,,,,,stim/VC_07.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.318045,,,,,,,,1,8,19,6,1,,,,,,,
,,,,,,,stim/VC_01.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,right,0.25107,,,,,,,,1,9,20,0,1,,,,,,,
,,,,,,,stim/VC_03.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,left,0.24004,,,,,,,,1,10,21,2,1,,,,,,,
,,,,,,,stim2/pa-15.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,left,0.59511,0,0,0,12,1
,,,,,,,stim2/pa+20.wav,kyle,2021-01-04_13h40.51.495,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,right,0.19431,0,1,1,3,1
