resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran
,,,,,,,stim2/pa+50.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.78739,1,11,28,9,1,,,,,,,
,,,,,,,stim2/pa-35.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.906575,1,12,29,16,1,,,,,,,
,,,,,,,stim2/pa-20.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,1.090275,1,13,30,13,1,,,,,,,
,,,,,,,stim2/pa-05.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.812615,1,14,31,10,1,,,,,,,
,,,,,,,stim2/pa+25.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.617415,1,15,32,4,1,,,,,,,
,,,,,,,stim2/pa+15.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.593605,1,16,33,2,1,,,,,,,
,,,,,,,stim2/pa+25.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.85184,2,0,34,4,1,,,,,,,
,,,,,,,stim2/pa-15.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.903215,2,1,35,12,1,,,,,,,
,,,,,,,stim2/pa-30.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,right,0.779445,2,2,36,15,1,,,,,,,
,,,,,,,stim2/pa+10.wav,5f00962ef7b0241ae371d912,2021-02-24_09h24.14.882,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,left,0.69651,2,3,37,1,1,,,,,,,
