stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ifri_p.started,ifri_p.stopped,ufri_practice.started,ufri_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,ifri_p_2.started,ifri_p_2.stopped,ufri_practice_2.started,ufri_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_10.wav,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,60.74441529996693,61.15623169997707,61.2399294198025,None,right,0.6323472000658512,61.2396547999233,None,61.2396547999233,None,61.2396547999233,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_01.wav,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,61.89710059994832,62.30629729991779,62.38984771990217,None,left,0.7384377999696881,62.38969679991715,None,62.38969679991715,None,62.38969679991715,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_02.wav,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,63.16039069998078,63.5729475999251,63.65621331995353,None,left,0.5857626998331398,63.65646339999512,None,63.65646339999512,None,63.65646339999512,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_04.wav,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,64.2772926997859,64.68946199980564,64.77272041989491,None,left,0.6191153998952359,64.77296859980561,None,64.77296859980561,None,64.77296859980561,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_04.wav,,,,,1,0,11,3,,,,,,,,,,,,,,,,,,,,,,,,,65.42417739983648,65.83936329977587,65.92283241995611,None,left,0.7820089999586344,65.923659699969,None,65.923659699969,None,65.923659699969,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_09.wav,,,,,1,1,12,8,,,,,,,,,,,,,,,,,,,,,,,,,66.72268789983355,67.12220719992183,67.22205471978523,None,right,0.6099663998465985,67.22272259998135,None,67.22272259998135,None,67.22272259998135,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_02.wav,,,,,1,2,13,1,,,,,,,,,,,,,,,,,,,,,,,,,67.86037499993108,68.27192109986208,68.35527291996405,None,left,0.5160016999579966,68.35539359995164,None,68.35539359995164,None,68.35539359995164,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_10.wav,,,,,1,3,14,9,,,,,,,,,,,,,,,,,,,,,,,,,68.89234899985604,69.30566799989901,69.38902601981536,None,right,0.6285173001233488,69.38908409979194,None,69.38908409979194,None,69.38908409979194,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_03.wav,,,,,1,4,15,2,,,,,,,,,,,,,,,,,,,,,,,,,70.04202539986,70.45563109987415,70.53908301992342,None,left,0.5061334001366049,70.53886249987409,None,70.53886249987409,None,70.53886249987409,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
stim/VC_01.wav,,,,,1,5,16,0,,,,,,,,,,,,,,,,,,,,,,,,,71.07460869988427,71.48902359977365,71.57232911987231,None,left,0.6420243000611663,71.57358169998042,None,71.57358169998042,None,71.57358169998042,None,,,,,,,,,,,,,,,,,02,em01p,2020_Oct_09_1451,2_afc_span,2020.2.3,59.938455172172986,
