stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_01.wav,,,,,2,6,28,0,,,,,,,,,,,,,,,,,,,,,,,,,54.56350689986721,54.97903439984657,55.06232221990358,None,left,0.5736821999307722,55.06253469991498,None,55.06253469991498,None,55.06253469991498,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_07.wav,,,,,2,7,29,6,,,,,,,,,,,,,,,,,,,,,,,,,55.66219689999707,56.06268540001474,56.162324020010416,None,right,0.9901517999824136,56.16242659999989,None,56.16242659999989,None,56.16242659999989,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_06.wav,,,,,2,8,30,5,,,,,,,,,,,,,,,,,,,,,,,,,57.180747099919245,57.59572259988636,57.67907171982806,None,right,0.9517330001108348,57.67874389979988,None,57.67874389979988,None,57.67874389979988,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_03.wav,,,,,2,9,31,2,,,,,,,,,,,,,,,,,,,,,,,,,58.64660759991966,59.04557179985568,59.145699519966726,None,left,0.6378317999187857,59.14553279988468,None,59.14553279988468,None,59.14553279988468,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_08.wav,,,,,2,10,32,7,,,,,,,,,,,,,,,,,,,,,,,,,59.81251439987682,60.21207999996841,60.31204721990507,None,right,0.6675708000548184,60.31208429997787,None,60.31208429997787,None,60.31208429997787,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_06.wav,,,,,3,0,33,5,,,,,,,,,,,,,,,,,,,,,,,,,60.998222499853,61.41204459988512,61.49533401995431,None,right,2.4228059998713434,61.49649349995889,None,61.49649349995889,None,61.49649349995889,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_01.wav,,,,,3,1,34,0,,,,,,,,,,,,,,,,,,,,,,,,,63.94784659985453,64.36181769985706,64.44520461985375,None,left,0.9771171999163926,64.44556539994664,None,64.44556539994664,None,64.44556539994664,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_02.wav,,,,,3,2,35,1,,,,,,,,,,,,,,,,,,,,,,,,,65.44526599999517,65.84524769987911,65.92840101995971,None,left,0.8139136999379843,65.92865089979023,None,65.92865089979023,None,65.92865089979023,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_11.wav,,,,,3,3,36,10,,,,,,,,,,,,,,,,,,,,,,,,,66.76162809995003,67.16281999996863,67.26164391993079,None,right,0.5634191001299769,67.26168469991535,None,67.26168469991535,None,67.26168469991535,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
stim/VC_04.wav,,,,,3,4,37,3,,,,,,,,,,,,,,,,,,,,,,,,,67.84765619994141,68.26164379995316,68.34491191997658,None,left,0.699760900111869,68.34515869989991,None,68.34515869989991,None,68.34515869989991,None,,,,,,,,,,,,,,,01,eeeee,2020_Oct_09_1324,2_afc_eng,2020.2.3,59.88780615233442,
