stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim2/pa-05.wav,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4831259001512,None,130.7863940000534,131.1900705001317,131.27531720020343,None,right,3.406965200090781,131.27424170006998,None,131.27424170006998,None,131.27424170006998,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+10.wav,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.71381680015475,135.12402079999447,135.20728910013568,None,left,0.9361010000575334,135.20726370019838,None,135.20726370019838,None,135.20726370019838,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+25.wav,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.17732400004752,136.59058370022103,136.67547330001835,None,left,0.7673826001118869,136.67411910020746,None,136.67411910020746,None,136.67411910020746,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+20.wav,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.462987100007,137.87391429999843,137.95711450020318,None,left,1.0646279000211507,137.95725040021352,None,137.95725040021352,None,137.95725040021352,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+15.wav,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.04426830005832,139.45705080009066,139.54039060019423,None,right,0.8009607000276446,139.54039410012774,None,139.54039410012774,None,139.54039410012774,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa-10.wav,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.36276480020024,140.77352330018766,140.85697710022797,None,right,0.8307936999481171,140.85799920000136,None,140.85799920000136,None,140.85799920000136,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa-35.wav,,,,,,,,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.71398160001263,142.12355020013638,142.20691470007878,None,right,0.6155331002082676,142.2068587001413,None,142.2068587001413,None,142.2068587001413,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa-15.wav,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.8400650001131,143.24016160005704,143.32351360002068,None,right,0.6085459000896662,143.32470300002024,None,143.32470300002024,None,143.32470300002024,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+05.wav,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.9600703001488,144.37356370012276,144.4566733001033,None,right,0.7166243998799473,144.4568150001578,None,144.4568150001578,None,144.4568150001578,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa-30.wav,,,,,,,,,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.19470750004984,145.60667520016432,145.69020870022942,None,right,0.7186286998912692,145.69003570009954,None,145.69003570009954,None,145.69003570009954,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa-20.wav,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.44221270014532,146.8565842001699,146.93998710017186,None,right,0.7288880001287907,146.9399349000305,None,146.9399349000305,None,146.9399349000305,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa-25.wav,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.6934536001645,148.10646090004593,148.18974610019941,None,right,0.8965665998402983,148.18995470018126,None,148.18995470018126,None,148.18995470018126,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+30.wav,,,,,,,,,0,12,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.10969940014184,149.52305730013177,149.60804460009095,None,left,0.7971269998233765,149.60668560001068,None,149.60668560001068,None,149.60668560001068,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+35.wav,,,,,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.42521010013297,150.83964840020053,150.9230192000745,None,left,1.1648554001003504,150.92303380020894,None,150.92303380020894,None,150.92303380020894,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+25.wav,,,,,,,,,1,0,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.10970430006273,152.52292280015536,152.60627650001553,None,right,1.289042599964887,152.60662340000272,None,152.60662340000272,None,152.60662340000272,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa-15.wav,,,,,,,,,1,1,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.9256853000261,154.3393773001153,154.42305070019793,None,right,0.6734346998855472,154.42299940017983,None,154.42299940017983,None,154.42299940017983,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+20.wav,,,,,,,,,1,2,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.12476260005496,155.53927660011686,155.62273790009786,None,left,0.6477982001379132,155.62284550000913,None,155.62284550000913,None,155.62284550000913,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+10.wav,,,,,,,,,1,3,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.29340970003977,156.70609320001677,156.78927150017117,None,left,0.5724416000302881,156.7893066999968,None,156.7893066999968,None,156.7893066999968,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim2/pa+30.wav,,,,,,,,,1,4,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.39136100001633,157.80584000004455,157.88944200004917,None,left,0.7349461999256164,157.8890957001131,None,157.8890957001131,None,157.8890957001131,None,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
